id;subject;message;date
1;productivity Rial;../fake-data/blob/hipster.txt;2022-12-20T11:34:11
2;Chicken framework;../fake-data/blob/hipster.txt;2022-12-21T10:42:35
3;reboot;../fake-data/blob/hipster.txt;2022-12-21T03:37:52
4;clicks-and-mortar redundant Pants;../fake-data/blob/hipster.txt;2022-12-20T20:08:01
5;maroon;../fake-data/blob/hipster.txt;2022-12-20T13:18:26
6;Centers Table;../fake-data/blob/hipster.txt;2022-12-21T08:35:36
7;silver Islands Product;../fake-data/blob/hipster.txt;2022-12-21T03:07:52
8;end-to-end Ford definition;../fake-data/blob/hipster.txt;2022-12-21T08:06:04
9;Human;../fake-data/blob/hipster.txt;2022-12-21T01:03:06
10;Avon;../fake-data/blob/hipster.txt;2022-12-21T00:13:39
